team_name,org_name,age_group,level,division
Hayfield,Hayfield,9u,A,9u / 9u A / West
Kasson-Mantorville,Kasson-Mantorville,11u,A,11u / 11u A / West
Kasson-Mantorville,Kasson-Mantorville,12u,AA,12u / 12u AA / West
Kasson-Mantorville,Kasson-Mantorville,13u,A,13u / 13u A / West
Kasson-Mantorville,Kasson-Mantorville,14/15u,AA,14/15u / 14/15u AA / West
Kasson-Mantorville Blue,Kasson-Mantorville,9u,A,9u / 9u A / West
Kasson-Mantorville Gray,Kasson-Mantorville,9u,A,9u / 9u A / West
Kasson-Mantorville White,Kasson-Mantorville,9u,A,9u / 9u A / West
Kenyon-Wanamingo,Kenyon-Wanamingo,11u,A,11u / 11u A / East
Kenyon-Wanamingo,Kenyon-Wanamingo,12u,A,12u / 12u A / East
Kenyon-Wanamingo,Kenyon-Wanamingo,13u,AA,13u / 13u AA / East
Kenyon-Wanamingo,Kenyon-Wanamingo,14/15u,AA,14/15u / 14/15u AA / East
Kenyon-Wanamingo,Kenyon-Wanamingo,9u,A,9u / 9u A / East
Lake City Black,Lake City,10u,A,10u / 10u A / East
Lake City Orange,Lake City,10u,AA,10u / 10u AA / East
Lake City,Lake City,11u,AA,11u / 11u AA / East
Lake City,Lake City,12u,AA,12u / 12u AA / East
Lake City,Lake City,13u,A,13u / 13u A / East
Lake City,Lake City,14/15u,AA,14/15u / 14/15u AA / East
Lake City Black,Lake City,8u,A,8u / 8u A / East
Lake City Orange,Lake City,8u,A,8u / 8u A / East
Lake City White,Lake City,8u,A,8u / 8u A / East
Lake City,Lake City,9u,A,9u / 9u A / East
Pine Island Gold,Pine Island,10u,AA,10u / 10u AA / East
Pine Island Grey,Pine Island,10u,AA,10u / 10u AA / East
Pine Island Maroon,Pine Island,10u,AA,10u / 10u AA / East
Pine Island,Pine Island,11u,A,11u / 11u A / East
Pine Island,Pine Island,12u,AA,12u / 12u AA / East
Pine Island,Pine Island,14/15u,AA,14/15u / 14/15u AA / East
Pine Island,Pine Island,9u,AA,9u / 9u AA / East
Plainview Elgin Millville,Plainview Elgin Millville,10u,A,10u / 10u A / East
Plainview Elgin Millville,Plainview Elgin Millville,11u,A,11u / 11u A / East
Plainview Elgin Millville,Plainview Elgin Millville,12u,A,12u / 12u A / East
PEM,Plainview Elgin Millville,13u,A,13u / 13u A / East
Plainview Elgin Millville,Plainview Elgin Millville,13u,A,13u / 13u A / East
PEM,Plainview Elgin Millville,14/15u,A,14/15u / 14/15u A / East
Plainview Elgin Millville,Plainview Elgin Millville,14/15u,A,14/15u / 14/15u A / East
Plainview Elgin Millville,Plainview Elgin Millville,9u,A,9u / 9u A / East
Randolph Rockets,Randolph Rockets,10u,A,10u / 10u A / East
Randolph Rockets,Randolph Rockets,11u,A,11u / 11u A / East
Randolph Rockets,Randolph Rockets,12u,A,12u / 12u A / East
Randolph Rockets,Randolph Rockets,8u,A,8u / 8u A / East
Randolph Rockets,Randolph Rockets,9u,A,9u / 9u A / East
Rochester Pulse,Rochester Pulse,14/15u,A,14/15u / 14/15u A / West
Southern Minny Blues,Southern Minny Blues,10u,A,10u / 10u A / West
Southern Minny Blues,Southern Minny Blues,11u,A,11u / 11u A / West
Southern Minny Blues,Southern Minny Blues,13u,A,13u / 13u A / West
Southern Minny Blues,Southern Minny Blues,9u,A,9u / 9u A / West
St. Charles,St. Charles,12u,AA,12u / 12u AA / West
Stewartville Gold,Stewartville,10u,AA,10u / 10u AA / West
Stewartville Maroon,Stewartville,10u,AA,10u / 10u AA / West
Stewartville Gold,Stewartville,11u,AA,11u / 11u AA / West
Stewartville Maroon,Stewartville,11u,AA,11u / 11u AA / West
Stewartville White,Stewartville,11u,AA,11u / 11u AA / West
Stewartville Gold,Stewartville,12u,AA,12u / 12u AA / West
Stewartville Maroon,Stewartville,12u,AA,12u / 12u AA / West
Stewartville,Stewartville,13u,AA,13u / 13u AA / West
Stewartville,Stewartville,8u,A,8u / 8u A / West
Stewartville Gold,Stewartville,9u,AA,9u / 9u AA / West
Stewartville Maroon,Stewartville,9u,AA,9u / 9u AA / West
Triton,Triton,11u,A,11u / 11u A / West
Zumbrota Mazeppa Blue,Zumbrota Mazeppa,10u,AA,10u / 10u AA / East
Zumbrota Mazeppa Silver,Zumbrota Mazeppa,10u,AA,10u / 10u AA / East
Zumbrota Mazeppa,Zumbrota Mazeppa,11u,A,11u / 11u A / East
Zumbrota Mazeppa,Zumbrota Mazeppa,11u,AA,11u / 11u AA / East
Zumbrota Mazeppa,Zumbrota Mazeppa,12u,A,12u / 12u A / East
Zumbrota Mazeppa,Zumbrota Mazeppa,12u,AA,12u / 12u AA / East
Zumbrota Mazeppa,Zumbrota Mazeppa,13u,AA,13u / 13u AA / East
Zumbrota Mazeppa,Zumbrota Mazeppa,14/15u,AA,14/15u / 14/15u AA / East
Zumbrota Mazeppa,Zumbrota Mazeppa,8u,A,8u / 8u A / East
Zumbrota Mazeppa,Zumbrota Mazeppa,9u,A,9u / 9u A / East
